quality,method,ssimulacra2_mean,ssimulacra2_p05,ssimulacra2_p25,ssimulacra2_p50,ssimulacra2_p75,ssimulacra2_p95,ssimulacra2_min,ssimulacra2_max,psnr_mean,psnr_p05,psnr_p25,psnr_p50,psnr_p75,psnr_p95,psnr_min,psnr_max,ssim_mean,ssim_p05,ssim_p25,ssim_p50,ssim_p75,ssim_p95,ssim_min,ssim_max,butteraugli_mean,butteraugli_p05,butteraugli_p25,butteraugli_p50,butteraugli_p75,butteraugli_p95,butteraugli_min,butteraugli_max,file_size_mean,file_size_p05,file_size_p25,file_size_p50,file_size_p75,file_size_p95,file_size_min,file_size_max,bits_per_pixel_mean,bits_per_pixel_p05,bits_per_pixel_p25,bits_per_pixel_p50,bits_per_pixel_p75,bits_per_pixel_p95,bits_per_pixel_min,bits_per_pixel_max,encoding_time_mean,encoding_time_p05,encoding_time_p25,encoding_time_p50,encoding_time_p75,encoding_time_p95,encoding_time_min,encoding_time_max,encoding_time_per_pixel_mean,encoding_time_per_pixel_p05,encoding_time_per_pixel_p25,encoding_time_per_pixel_p50,encoding_time_per_pixel_p75,encoding_time_per_pixel_p95,encoding_time_per_pixel_min,encoding_time_per_pixel_max,compression_ratio_mean,compression_ratio_p05,compression_ratio_p25,compression_ratio_p50,compression_ratio_p75,compression_ratio_p95,compression_ratio_min,compression_ratio_max,bits_per_ssimulacra2_per_pixel_mean,bits_per_ssimulacra2_per_pixel_p05,bits_per_ssimulacra2_per_pixel_p25,bits_per_ssimulacra2_per_pixel_p50,bits_per_ssimulacra2_per_pixel_p75,bits_per_ssimulacra2_per_pixel_p95,bits_per_ssimulacra2_per_pixel_min,bits_per_ssimulacra2_per_pixel_max,bits_per_psnr_per_pixel_mean,bits_per_psnr_per_pixel_p05,bits_per_psnr_per_pixel_p25,bits_per_psnr_per_pixel_p50,bits_per_psnr_per_pixel_p75,bits_per_psnr_per_pixel_p95,bits_per_psnr_per_pixel_min,bits_per_psnr_per_pixel_max,bits_per_ssim_per_pixel_mean,bits_per_ssim_per_pixel_p05,bits_per_ssim_per_pixel_p25,bits_per_ssim_per_pixel_p50,bits_per_ssim_per_pixel_p75,bits_per_ssim_per_pixel_p95,bits_per_ssim_per_pixel_min,bits_per_ssim_per_pixel_max,bits_per_butteraugli_per_pixel_mean,bits_per_butteraugli_per_pixel_p05,bits_per_butteraugli_per_pixel_p25,bits_per_butteraugli_per_pixel_p50,bits_per_butteraugli_per_pixel_p75,bits_per_butteraugli_per_pixel_p95,bits_per_butteraugli_per_pixel_min,bits_per_butteraugli_per_pixel_max
50,6,61.71,59.15,60.07,61.91,63.56,64.01,58.92,64.12,33.89,31.67,32.55,33.54,34.87,36.59,31.45,37.02,0.9116,0.8739,0.8945,0.9191,0.9362,0.9388,0.8687,0.9395,5.127,3.865,4.628,5.212,5.711,6.27,3.674,6.41,1.705e+05,9.471e+04,1.297e+05,1.837e+05,2.245e+05,2.279e+05,85968,228718,0.5068,0.2491,0.3678,0.5394,0.6783,0.7189,0.2195,0.729,0.7089,0.5863,0.6087,0.6956,0.7958,0.8502,0.5808,0.8638,2.592e-07,1.911e-07,2.139e-07,2.678e-07,3.132e-07,3.153e-07,1.853e-07,3.158e-07,27.6,19.48,20.29,24.6,31.91,39.92,19.27,41.92,0.008251,0.003972,0.006167,0.00876,0.01084,0.01182,0.003423,0.01206,0.01535,0.006872,0.01064,0.01615,0.02087,0.02272,0.005929,0.02318,0.5571,0.2706,0.4186,0.5938,0.7323,0.7922,0.2336,0.8072,2.432,1.539,2.066,2.358,2.724,3.43,1.407,3.606
60,0,66.93,65.82,66.32,67,67.61,67.96,65.7,68.04,34.5,32.55,33.36,34.14,35.27,36.94,32.34,37.36,0.9167,0.8794,0.9043,0.9264,0.9388,0.9404,0.8732,0.9408,4.46,3.935,4.378,4.573,4.655,4.826,3.824,4.869,2.644e+05,1.566e+05,1.953e+05,2.765e+05,3.456e+05,3.552e+05,146990,357560,0.7843,0.4107,0.5522,0.8226,1.055,1.104,0.3753,1.117,0.1463,0.1385,0.1426,0.1461,0.1498,0.1544,0.1375,0.1555,5.302e-08,4.757e-08,4.907e-08,5.296e-08,5.69e-08,5.854e-08,4.72e-08,5.895e-08,17.45,12.68,13.04,16.35,20.76,23.76,12.58,24.52,0.01176,0.006066,0.008269,0.01226,0.01574,0.01675,0.005515,0.017,0.02323,0.01119,0.01577,0.02418,0.03164,0.03395,0.01004,0.03452,0.855,0.445,0.625,0.8996,1.13,1.203,0.4,1.221,3.422,1.971,2.548,3.371,4.245,4.944,1.827,5.118
60,1,67.01,65.85,66.39,67.08,67.69,68.06,65.72,68.15,34.51,32.55,33.37,34.15,35.28,36.96,32.35,37.38,0.9168,0.8794,0.9044,0.9266,0.9391,0.9405,0.8732,0.9409,4.391,3.924,4.272,4.434,4.554,4.799,3.837,4.86,2.514e+05,1.45e+05,1.885e+05,2.685e+05,3.314e+05,3.338e+05,134184,334366,0.7471,0.3808,0.5338,0.7765,0.9898,1.072,0.3426,1.093,0.1724,0.168,0.1703,0.1732,0.1753,0.1755,0.1675,0.1756,6.26e-08,5.472e-08,5.978e-08,6.268e-08,6.55e-08,7.037e-08,5.345e-08,7.158e-08,18.49,13.07,13.92,17.12,21.68,25.82,12.86,26.86,0.01119,0.005618,0.007984,0.01156,0.01477,0.01626,0.005027,0.01663,0.02214,0.01038,0.01525,0.02281,0.02971,0.03296,0.009165,0.03378,0.8148,0.4129,0.6045,0.8499,1.06,1.168,0.365,1.194,3.209,1.811,2.395,3.153,3.966,4.684,1.665,4.864
60,2,66.39,65.55,65.7,66.15,66.84,67.59,65.51,67.78,34.28,32.23,32.97,33.87,35.18,36.9,32.05,37.33,0.9176,0.8797,0.9068,0.9288,0.9396,0.94,0.8729,0.9401,5.014,3.733,4.651,5.396,5.759,5.76,3.504,5.76,2.17e+05,1.168e+05,1.634e+05,2.349e+05,2.886e+05,2.922e+05,105172,293082,0.6463,0.3075,0.4636,0.6795,0.8622,0.9387,0.2685,0.9578,0.2172,0.2054,0.2139,0.2182,0.2216,0.2276,0.2033,0.2291,7.89e-08,7.045e-08,7.259e-08,7.604e-08,8.234e-08,9.135e-08,6.991e-08,9.36e-08,21.98,14.93,15.99,19.49,25.48,32.51,14.67,34.26,0.009775,0.004573,0.007019,0.01026,0.01302,0.0143,0.003962,0.01462,0.01934,0.008415,0.0133,0.02015,0.02619,0.02914,0.007193,0.02988,0.7045,0.3338,0.5256,0.7444,0.9232,1.019,0.2858,1.043,3.158,1.714,2.382,2.785,3.561,5.125,1.547,5.515
60,3,65.17,62.64,64.36,65.84,66.65,66.78,62.2,66.81,34.55,32.48,33.31,34.16,35.41,37.18,32.28,37.62,0.9218,0.8853,0.9093,0.9317,0.9442,0.9443,0.8793,0.9443,4.967,3.76,4.518,5.043,5.492,6.067,3.571,6.21,2.036e+05,1.093e+05,1.51e+05,2.188e+05,2.715e+05,2.767e+05,98864,278044,0.6067,0.2876,0.4282,0.6329,0.8114,0.8892,0.2524,0.9086,0.3955,0.3822,0.3837,0.3881,0.4,0.4192,0.3819,0.424,1.435e-07,1.248e-07,1.368e-07,1.475e-07,1.542e-07,1.564e-07,1.219e-07,1.57e-07,23.48,15.77,17,21,27.48,34.66,15.46,36.45,0.009315,0.004385,0.006814,0.009761,0.01226,0.01362,0.003778,0.01396,0.01801,0.007809,0.01221,0.01859,0.0244,0.0274,0.006709,0.02815,0.6586,0.3103,0.482,0.6892,0.8658,0.9639,0.2674,0.9884,3.026,1.48,2.096,2.567,3.497,5.214,1.326,5.643
60,4,65.24,62.71,64.15,65.74,66.83,67.07,62.35,67.13,34.57,32.47,33.31,34.17,35.43,37.23,32.26,37.68,0.9219,0.8856,0.9091,0.9316,0.9445,0.9446,0.8798,0.9447,5.051,3.779,4.691,5.216,5.575,6.092,3.551,6.221,2.041e+05,1.096e+05,1.513e+05,2.194e+05,2.721e+05,2.771e+05,99118,278304,0.6079,0.2883,0.4292,0.6345,0.8132,0.8902,0.2531,0.9095,0.4082,0.3801,0.383,0.3847,0.4099,0.4694,0.3794,0.4842,1.481e-07,1.238e-07,1.347e-07,1.481e-07,1.615e-07,1.723e-07,1.211e-07,1.75e-07,23.43,15.75,16.96,20.95,27.41,34.57,15.45,36.36,0.009337,0.004378,0.006812,0.009765,0.01229,0.0137,0.00377,0.01405,0.01805,0.00782,0.01223,0.01864,0.02445,0.02745,0.006717,0.0282,0.6598,0.311,0.483,0.6907,0.8675,0.9653,0.268,0.9898,3.065,1.524,2.195,2.624,3.494,5.225,1.356,5.658
60,5,65.65,63.23,64.62,66.17,67.2,67.33,62.88,67.36,34.49,32.35,33.21,34.11,35.39,37.15,32.13,37.59,0.9208,0.8843,0.907,0.9301,0.944,0.9443,0.8787,0.9443,4.823,3.637,4.585,5.01,5.248,5.748,3.401,5.873,2.01e+05,1.095e+05,1.522e+05,2.186e+05,2.674e+05,2.681e+05,98810,268232,0.5982,0.2882,0.4317,0.6336,0.8001,0.8585,0.2523,0.8731,0.4824,0.4573,0.4711,0.4768,0.4881,0.5152,0.4539,0.5219,1.752e-07,1.49e-07,1.655e-07,1.805e-07,1.902e-07,1.939e-07,1.449e-07,1.948e-07,23.6,16.32,17.21,20.92,27.31,34.64,16.09,36.47,0.009126,0.004356,0.006799,0.009685,0.01201,0.01312,0.003745,0.01339,0.01779,0.007832,0.01231,0.01865,0.02413,0.02656,0.006711,0.02717,0.6502,0.3111,0.4864,0.6904,0.8543,0.933,0.2673,0.9527,2.875,1.439,2.172,2.558,3.26,4.754,1.256,5.128
60,6,65.31,63.02,63.92,65.66,67.05,67.1,62.8,67.12,34.48,32.28,33.17,34.11,35.42,37.18,32.05,37.63,0.9202,0.8846,0.9054,0.9288,0.9437,0.9438,0.8794,0.9439,4.916,3.586,4.788,5.328,5.455,5.667,3.286,5.72,1.939e+05,1.07e+05,1.48e+05,2.107e+05,2.566e+05,2.572e+05,96726,257322,0.5766,0.2815,0.4199,0.6108,0.7675,0.8236,0.247,0.8377,0.7537,0.6209,0.6542,0.7492,0.8487,0.8928,0.6126,0.9039,2.757e-07,2.024e-07,2.3e-07,2.841e-07,3.299e-07,3.373e-07,1.955e-07,3.392e-07,24.33,17.01,17.94,21.65,28.04,35.41,16.77,37.26,0.008851,0.004272,0.006624,0.009346,0.01157,0.01274,0.003685,0.01303,0.01716,0.007644,0.01197,0.01798,0.02317,0.02554,0.006563,0.02613,0.6274,0.3038,0.4726,0.6658,0.8206,0.8972,0.2616,0.9164,2.772,1.493,2.165,2.485,3.092,4.451,1.325,4.791
70,0,70.23,68.98,69.98,70.56,70.81,71.04,68.73,71.09,35.11,33.18,34.05,34.76,35.82,37.53,32.96,37.95,0.9251,0.8905,0.9141,0.9334,0.9445,0.9479,0.8846,0.9488,4.411,3.392,4.182,4.519,4.748,5.28,3.195,5.413,2.964e+05,1.738e+05,2.228e+05,3.111e+05,3.848e+05,3.984e+05,161522,401854,0.8792,0.456,0.6306,0.9328,1.181,1.227,0.4124,1.239,0.1577,0.1492,0.1521,0.1552,0.1608,0.1699,0.1485,0.1721,5.716e-08,5.065e-08,5.278e-08,5.795e-08,6.233e-08,6.256e-08,5.012e-08,6.262e-08,15.59,11.4,11.64,14.34,18.29,21.51,11.34,22.31,0.01255,0.006456,0.008951,0.01317,0.01677,0.01777,0.005832,0.01802,0.02556,0.01224,0.01774,0.0269,0.03472,0.03701,0.01087,0.03759,0.9495,0.491,0.7056,1.01,1.254,1.323,0.4373,1.341,3.865,2.059,2.853,3.448,4.461,6.256,1.86,6.705
70,1,70.22,68.96,70.01,70.56,70.78,71,68.7,71.06,35.12,33.18,34.05,34.77,35.84,37.55,32.96,37.98,0.9253,0.8909,0.9143,0.9337,0.9447,0.948,0.885,0.9489,4.413,3.453,4.106,4.499,4.806,5.251,3.29,5.363,2.821e+05,1.612e+05,2.156e+05,3.047e+05,3.712e+05,3.715e+05,147560,371554,0.8383,0.4236,0.611,0.8818,1.109,1.192,0.3767,1.213,0.1754,0.1642,0.1741,0.1788,0.18,0.1817,0.1618,0.1822,6.356e-08,5.818e-08,5.839e-08,6.164e-08,6.681e-08,7.162e-08,5.813e-08,7.282e-08,16.5,11.75,12.42,15,19.08,23.35,11.59,24.42,0.01197,0.005998,0.008669,0.01245,0.01575,0.01727,0.00533,0.01765,0.02439,0.01138,0.01719,0.02542,0.03261,0.03596,0.00992,0.03679,0.9057,0.4563,0.6838,0.9555,1.177,1.285,0.3994,1.312,3.699,1.932,2.698,3.276,4.277,6.058,1.74,6.503
70,2,69.8,68.86,69.17,69.91,70.54,70.59,68.78,70.61,34.91,32.92,33.67,34.48,35.72,37.5,32.73,37.94,0.926,0.8906,0.9166,0.9359,0.9453,0.9477,0.8841,0.9482,4.596,3.451,4.302,4.72,5.014,5.566,3.239,5.704,2.474e+05,1.324e+05,1.875e+05,2.691e+05,3.289e+05,3.319e+05,118636,332648,0.7366,0.3488,0.5323,0.7783,0.9826,1.066,0.3029,1.087,0.2144,0.2029,0.21,0.2171,0.2215,0.2222,0.2011,0.2224,7.789e-08,6.656e-08,7.602e-08,8.018e-08,8.205e-08,8.601e-08,6.419e-08,8.699e-08,19.32,13.15,14.03,16.99,22.28,28.76,12.93,30.37,0.01058,0.004964,0.007661,0.01111,0.01403,0.01545,0.00429,0.0158,0.02162,0.009396,0.01505,0.02265,0.02922,0.03242,0.007982,0.03322,0.7953,0.3759,0.5967,0.8441,1.043,1.146,0.3207,1.172,3.389,1.657,2.489,2.952,3.852,5.731,1.449,6.201
70,3,68.88,66.8,67.99,69.17,70.06,70.54,66.5,70.66,35.18,33.15,34.01,34.79,35.96,37.74,32.94,38.19,0.9299,0.8965,0.9191,0.9381,0.9489,0.952,0.8909,0.9527,4.253,3.222,3.899,4.437,4.79,5.025,3.053,5.084,2.34e+05,1.247e+05,1.746e+05,2.527e+05,3.121e+05,3.171e+05,112264,318400,0.6972,0.3284,0.4955,0.7309,0.9327,1.019,0.2866,1.041,0.4053,0.3926,0.394,0.3991,0.4104,0.4267,0.3923,0.4308,1.47e-07,1.289e-07,1.409e-07,1.508e-07,1.569e-07,1.596e-07,1.259e-07,1.602e-07,20.48,13.76,14.79,18.16,23.85,30.45,13.5,32.1,0.01012,0.004762,0.007399,0.01059,0.01332,0.01482,0.004103,0.01519,0.02031,0.008786,0.01391,0.02107,0.02747,0.03077,0.007505,0.03159,0.7496,0.3522,0.5513,0.7877,0.986,1.094,0.3025,1.121,2.934,1.498,2.108,2.55,3.376,4.907,1.345,5.29
70,4,69.1,66.97,68.27,69.48,70.31,70.7,66.64,70.8,35.19,33.15,34.02,34.81,35.98,37.77,32.93,38.22,0.9303,0.897,0.9194,0.9383,0.9492,0.9523,0.8914,0.953,3.983,3.231,3.793,4.103,4.292,4.567,3.091,4.635,2.344e+05,1.25e+05,1.752e+05,2.532e+05,3.125e+05,3.174e+05,112418,318624,0.6983,0.329,0.497,0.7324,0.9336,1.02,0.287,1.041,0.4168,0.3905,0.3931,0.4171,0.4408,0.4428,0.3899,0.4433,1.517e-07,1.271e-07,1.38e-07,1.514e-07,1.651e-07,1.768e-07,1.244e-07,1.797e-07,20.44,13.75,14.77,18.11,23.78,30.4,13.49,32.05,0.0101,0.004754,0.007405,0.01059,0.01329,0.01477,0.004092,0.01513,0.02033,0.008798,0.01395,0.0211,0.02749,0.03079,0.00751,0.03162,0.7505,0.3528,0.5528,0.789,0.9867,1.094,0.3028,1.121,2.771,1.362,2.013,2.529,3.287,4.519,1.199,4.826
70,5,68.88,66.35,67.71,69.26,70.43,70.86,66.01,70.97,35.08,33.01,33.89,34.69,35.88,37.68,32.79,38.13,0.9285,0.8941,0.9166,0.9368,0.9486,0.9514,0.8884,0.9521,4.429,3.264,4.242,4.735,4.922,5.166,3.019,5.227,2.298e+05,1.248e+05,1.74e+05,2.499e+05,3.056e+05,3.066e+05,112538,306798,0.6838,0.3286,0.4937,0.7226,0.9127,0.9846,0.2873,1.003,0.4647,0.4294,0.4408,0.4652,0.4891,0.4992,0.4265,0.5018,1.69e-07,1.44e-07,1.512e-07,1.678e-07,1.856e-07,1.955e-07,1.422e-07,1.98e-07,20.67,14.23,15.1,18.33,23.9,30.4,14.01,32.02,0.009933,0.004755,0.007413,0.01048,0.013,0.01435,0.00409,0.01468,0.01997,0.008806,0.01389,0.02089,0.02697,0.02985,0.007535,0.03057,0.7366,0.3527,0.5507,0.7801,0.966,1.059,0.3032,1.083,2.988,1.535,2.333,2.688,3.344,4.861,1.336,5.24
70,6,68.81,66.68,67.8,69.05,70.06,70.59,66.4,70.72,35.08,33,33.87,34.69,35.91,37.7,32.78,38.15,0.9284,0.8952,0.9163,0.9362,0.9482,0.9508,0.8899,0.9514,4.354,3.257,4.104,4.513,4.763,5.229,3.046,5.346,2.222e+05,1.217e+05,1.69e+05,2.415e+05,2.946e+05,2.956e+05,109920,295868,0.661,0.3204,0.4796,0.6983,0.8798,0.9495,0.2806,0.9669,0.8163,0.652,0.6969,0.8304,0.9498,0.9607,0.6408,0.9634,2.996e-07,2.126e-07,2.451e-07,3.002e-07,3.547e-07,3.858e-07,2.045e-07,3.935e-07,21.3,14.76,15.66,18.94,24.58,31.14,14.53,32.78,0.009608,0.004649,0.00717,0.01012,0.01256,0.01384,0.004018,0.01416,0.01931,0.008582,0.01348,0.02019,0.02601,0.0288,0.007356,0.0295,0.7123,0.3439,0.5341,0.7538,0.9319,1.022,0.2963,1.045,2.876,1.437,2.183,2.543,3.235,4.782,1.251,5.169
80,0,75.59,74.77,74.85,75.55,76.29,76.48,74.74,76.53,36.44,34.61,35.46,36.09,37.06,38.77,34.4,39.2,0.9407,0.9133,0.9347,0.9469,0.9529,0.9594,0.9079,0.961,3.605,2.701,3.255,3.562,3.912,4.569,2.563,4.734,3.768e+05,2.218e+05,2.862e+05,4.005e+05,4.91e+05,4.986e+05,205730,500450,1.118,0.5823,0.8103,1.176,1.484,1.572,0.5253,1.594,0.1676,0.1592,0.1608,0.166,0.1728,0.1782,0.1588,0.1796,6.065e-08,5.502e-08,5.74e-08,6.163e-08,6.488e-08,6.491e-08,5.443e-08,6.492e-08,12.23,8.905,9.273,11.3,14.26,16.86,8.812,17.52,0.01478,0.007744,0.01066,0.0154,0.01952,0.02097,0.007014,0.02133,0.03126,0.01513,0.02203,0.03265,0.04189,0.04546,0.0134,0.04635,1.186,0.6194,0.886,1.252,1.552,1.662,0.5527,1.69,4.095,2.05,2.928,3.501,4.668,6.972,1.831,7.548
80,1,75.6,74.75,74.87,75.56,76.3,76.51,74.72,76.57,36.45,34.62,35.47,36.09,37.08,38.79,34.4,39.22,0.9408,0.9135,0.9348,0.9471,0.9532,0.9595,0.9082,0.961,3.651,2.686,3.234,3.585,4.003,4.709,2.549,4.886,3.603e+05,2.073e+05,2.782e+05,3.863e+05,4.683e+05,4.768e+05,189628,478922,1.071,0.545,0.7886,1.117,1.399,1.532,0.4841,1.565,0.1893,0.1735,0.1783,0.1863,0.1973,0.2095,0.1723,0.2125,6.888e-08,5.651e-08,6.262e-08,7.099e-08,7.725e-08,7.828e-08,5.499e-08,7.854e-08,12.88,9.153,9.857,11.77,14.8,18.16,8.978,19,0.01416,0.007245,0.01038,0.01462,0.0184,0.02044,0.006462,0.02095,0.02996,0.01416,0.02144,0.031,0.03951,0.0443,0.01234,0.04549,1.137,0.5799,0.8624,1.189,1.464,1.62,0.5093,1.659,4.013,1.92,2.895,3.364,4.482,7.014,1.676,7.647
80,2,75.29,74.65,74.73,75.03,75.59,76.29,74.63,76.46,36.26,34.36,35.19,35.88,36.95,38.69,34.15,39.12,0.9417,0.9136,0.9364,0.9482,0.9535,0.9607,0.9079,0.9625,3.52,2.647,3.088,3.424,3.856,4.529,2.537,4.697,3.261e+05,1.724e+05,2.487e+05,3.546e+05,4.32e+05,4.399e+05,153280,441830,0.9716,0.4543,0.7063,1.026,1.291,1.413,0.3913,1.444,0.2359,0.2207,0.2283,0.2375,0.2451,0.2489,0.2188,0.2499,8.521e-08,8.034e-08,8.271e-08,8.586e-08,8.836e-08,8.918e-08,7.975e-08,8.938e-08,14.74,9.922,10.69,12.85,16.9,22.19,9.731,23.51,0.01289,0.006073,0.009391,0.01349,0.01699,0.01885,0.005243,0.01931,0.02739,0.01186,0.0193,0.02864,0.03674,0.04118,0.01,0.04229,1.03,0.484,0.7731,1.091,1.348,1.491,0.4117,1.526,3.527,1.523,2.496,3.023,4.054,6.237,1.28,6.782
80,3,75,73.81,74.23,74.65,75.42,76.69,73.71,77.01,36.51,34.56,35.52,36.18,37.18,38.94,34.32,39.38,0.945,0.9178,0.9379,0.9505,0.9576,0.9645,0.9128,0.9662,3.48,2.458,3.05,3.326,3.756,4.717,2.31,4.958,3.127e+05,1.648e+05,2.361e+05,3.38e+05,4.146e+05,4.252e+05,147004,427896,0.9322,0.4343,0.6704,0.9775,1.239,1.367,0.3753,1.398,0.4357,0.4204,0.4213,0.4302,0.4446,0.4587,0.4202,0.4622,1.58e-07,1.378e-07,1.525e-07,1.628e-07,1.684e-07,1.715e-07,1.341e-07,1.722e-07,15.39,10.27,11.14,13.5,17.76,23.16,10.05,24.51,0.01241,0.005824,0.009075,0.01292,0.01625,0.01829,0.005012,0.01879,0.0261,0.01127,0.0182,0.02706,0.03496,0.03959,0.00953,0.04075,0.9852,0.4605,0.73,1.035,1.29,1.44,0.3931,1.478,3.372,1.439,2.244,2.66,3.788,6.304,1.237,6.932
80,4,75.21,74.03,74.72,75.12,75.61,76.53,73.85,76.77,36.53,34.59,35.53,36.18,37.19,38.95,34.36,39.39,0.9455,0.9184,0.9393,0.9514,0.9576,0.9643,0.9131,0.9659,3.616,2.535,3.096,3.407,3.926,4.989,2.395,5.254,3.133e+05,1.652e+05,2.367e+05,3.385e+05,4.151e+05,4.259e+05,147324,428636,0.9337,0.4353,0.6721,0.979,1.241,1.369,0.3761,1.401,0.4386,0.4074,0.4112,0.4333,0.4606,0.4774,0.4064,0.4815,1.596e-07,1.326e-07,1.444e-07,1.617e-07,1.769e-07,1.836e-07,1.297e-07,1.853e-07,15.36,10.25,11.13,13.48,17.72,23.11,10.03,24.46,0.01238,0.005828,0.009081,0.01295,0.01626,0.01815,0.005014,0.01862,0.02613,0.01129,0.01824,0.0271,0.03499,0.03961,0.00955,0.04077,0.9862,0.4614,0.7315,1.037,1.291,1.44,0.3939,1.478,3.535,1.467,2.327,2.764,3.973,6.682,1.252,7.36
80,5,75.05,74.02,74.04,74.54,75.55,76.78,74.02,77.09,36.42,34.42,35.39,36.1,37.13,38.88,34.18,39.32,0.9438,0.9163,0.9356,0.9491,0.9572,0.9638,0.9115,0.9655,3.6,2.502,3.06,3.301,3.841,5.116,2.363,5.435,3.054e+05,1.635e+05,2.342e+05,3.325e+05,4.036e+05,4.093e+05,145836,410746,0.9094,0.4309,0.6649,0.9615,1.206,1.315,0.3723,1.342,0.4879,0.4399,0.46,0.492,0.5198,0.5301,0.4349,0.5327,1.78e-07,1.434e-07,1.617e-07,1.778e-07,1.942e-07,2.129e-07,1.388e-07,2.176e-07,15.64,10.66,11.43,13.7,17.9,23.35,10.47,24.71,0.01211,0.005762,0.008963,0.01267,0.01582,0.01767,0.004962,0.01813,0.02553,0.01119,0.01808,0.02668,0.03413,0.03824,0.009471,0.03927,0.9628,0.457,0.7249,1.019,1.257,1.389,0.3901,1.422,3.445,1.424,2.19,2.626,3.881,6.612,1.232,7.295
80,6,74.92,73.95,74.22,74.62,75.33,76.32,73.88,76.57,36.42,34.42,35.37,36.08,37.13,38.89,34.19,39.33,0.9437,0.9167,0.9359,0.9492,0.957,0.9632,0.9119,0.9647,3.602,2.458,3.159,3.471,3.913,4.929,2.282,5.183,2.961e+05,1.597e+05,2.274e+05,3.218e+05,3.906e+05,3.967e+05,142730,398194,0.8818,0.4206,0.6455,0.9307,1.167,1.274,0.3644,1.301,0.9209,0.6624,0.7799,0.9541,1.095,1.133,0.633,1.142,3.389e-07,2.167e-07,2.752e-07,3.563e-07,4.2e-07,4.367e-07,2.02e-07,4.409e-07,16.08,11,11.82,14.14,18.41,23.88,10.8,25.25,0.01176,0.005635,0.00872,0.01233,0.01537,0.01708,0.004864,0.01751,0.02475,0.01092,0.01755,0.02584,0.03305,0.03706,0.009265,0.03806,0.9336,0.4461,0.7034,0.9869,1.217,1.346,0.3818,1.379,3.282,1.464,2.231,2.556,3.607,6.118,1.272,6.745
90,0,83.71,82.79,82.92,83.43,84.23,85.03,82.76,85.23,39.15,37.25,38.32,39,39.84,41.27,36.98,41.63,0.965,0.9459,0.9603,0.9682,0.9729,0.9796,0.9423,0.9812,2.627,1.677,1.956,2.267,2.938,4.08,1.608,4.365,5.869e+05,3.288e+05,4.598e+05,6.301e+05,7.571e+05,7.844e+05,296002,791270,1.742,0.8655,1.305,1.888,2.326,2.415,0.7557,2.437,0.2084,0.1926,0.1991,0.2044,0.2137,0.2299,0.191,0.2339,7.575e-08,6.275e-08,6.994e-08,7.874e-08,8.455e-08,8.456e-08,6.096e-08,8.457e-08,7.979,5.795,5.913,6.988,9.054,11.55,5.766,12.17,0.02077,0.01042,0.01558,0.02229,0.02748,0.02899,0.009132,0.02937,0.04519,0.02119,0.03333,0.04835,0.06021,0.06476,0.01816,0.06589,1.801,0.9016,1.38,1.955,2.377,2.485,0.782,2.512,4.815,2.044,2.777,3.381,5.419,9.594,1.861,10.64
90,1,83.78,82.87,83.07,83.52,84.23,85.06,82.83,85.27,39.16,37.26,38.32,39,39.85,41.29,36.99,41.65,0.9651,0.9461,0.9605,0.9683,0.973,0.9796,0.9425,0.9813,2.536,1.699,2.008,2.197,2.725,3.847,1.622,4.127,5.664e+05,3.169e+05,4.52e+05,6.203e+05,7.347e+05,7.405e+05,283190,741970,1.683,0.835,1.283,1.808,2.208,2.356,0.723,2.393,0.2521,0.2316,0.2419,0.2497,0.2598,0.276,0.229,0.28,9.168e-08,7.548e-08,8.504e-08,9.513e-08,1.018e-07,1.031e-07,7.308e-08,1.034e-07,8.266,5.944,6.236,7.235,9.264,12.03,5.872,12.72,0.02005,0.01005,0.01532,0.02134,0.02607,0.02824,0.008729,0.02878,0.04366,0.02044,0.03278,0.0463,0.05718,0.06319,0.01736,0.06469,1.74,0.8698,1.357,1.873,2.257,2.425,0.7481,2.467,4.532,1.858,2.763,3.31,5.079,8.918,1.632,9.877
90,2,83.7,82.78,83.32,83.67,84.04,84.68,82.64,84.83,38.99,37.22,38.27,38.72,39.43,41.13,36.96,41.56,0.9657,0.9472,0.9606,0.9692,0.9743,0.9792,0.9438,0.9805,2.828,1.672,2.009,2.378,3.197,4.613,1.588,4.967,5.547e+05,3.107e+05,4.544e+05,6.04e+05,7.043e+05,7.298e+05,274808,736160,1.65,0.8195,1.291,1.747,2.106,2.346,0.7016,2.406,0.2488,0.2085,0.2335,0.2566,0.2719,0.2781,0.2023,0.2796,9.051e-08,7.383e-08,7.665e-08,8.946e-08,1.033e-07,1.087e-07,7.312e-08,1.1e-07,8.443,5.985,6.561,7.408,9.29,12.35,5.84,13.11,0.01967,0.009879,0.01544,0.0207,0.02493,0.02802,0.00849,0.02879,0.04305,0.02011,0.03303,0.04512,0.05515,0.06311,0.01688,0.0651,1.706,0.8536,1.363,1.811,2.153,2.41,0.7262,2.475,5.04,2.032,2.846,3.191,5.385,10.64,1.829,11.95
